player_id,player_name,age,position_group,league_name,tier,value_at_as_of,minutes_played,performance_score,trajectory_score,availability_score,composite_score,confidence,has_xg,value_after,value_after_date,last_valuation,dropped_out,value_growth,value_delta_eur,doubled,horizon_end,value_bucket
481680,Konstantinos Thymianis,22.83915126625599,Midfield,Super League Greece,3,350000,1139.0,54.6,52.9,10.7,45.2,medium,False,500000,2025-12-12,2026-06-04,False,0.4285714285714286,150000,False,2026-01-01,<0.5M
729781,Vladyslav Veleten,21.251197809719372,Attack,Ukrainian Premier League,3,250000,998.0,26.4,94.9,0.6,45.2,medium,False,1000000,2025-12-18,2026-06-02,False,3.0,750000,True,2026-01-01,<0.5M
479641,Jair Tavares,22.88021902806297,Attack,Scottish Premiership,3,350000,1380.0,14.5,87.3,40.0,45.1,medium,False,300000,2025-11-25,2025-11-25,False,-0.1428571428571429,-50000,False,2026-01-01,<0.5M
865682,Ezechiel Banzuzi,18.872005475701574,Midfield,Pro League,2,1000000,1747.0,33.4,85.7,0.1,45.0,medium,False,18000000,2025-12-19,2026-05-27,False,17.0,17000000,True,2026-01-01,0.5-1M
564449,Million Manhoef,21.99315537303217,Attack,Eredivisie,2,3500000,1464.0,26.6,71.5,40.0,45.0,medium,False,3500000,2024-05-24,2024-05-24,False,0.0,0,False,2026-01-01,2-4M
718318,Ibrahim Said,21.54688569472964,Attack,Danish Superliga,3,800000,1333.0,33.6,78.4,10.7,44.7,medium,False,600000,2025-12-10,2026-05-20,False,-0.25,-200000,False,2026-01-01,0.5-1M
727089,Noah Sadiki,19.039014373716633,Midfield,Pro League,2,3000000,1138.0,22.0,98.7,0.1,44.5,medium,False,25000000,2025-12-09,2026-06-03,False,7.333333333333334,22000000,True,2026-01-01,2-4M
742506,Fábio Ronaldo,22.677618069815196,Attack,Liga Portugal,2,1200000,2550.0,33.5,77.9,10.7,44.5,medium,False,1200000,2025-12-08,2026-06-04,False,0.0,0,False,2026-01-01,1-2M
746180,Nikita Krivtsov,21.371663244353183,Midfield,Russian Premier Liga,2,3500000,1658.0,32.9,83.8,0.6,44.3,medium,False,5000000,2025-12-16,2026-05-26,False,0.4285714285714286,1500000,False,2026-01-01,2-4M
412945,Enric Llansana,22.72142368240931,Midfield,Eredivisie,2,500000,1211.0,49.1,62.7,0.6,44.2,medium,False,3500000,2025-12-10,2026-06-04,False,6.0,3000000,True,2026-01-01,<0.5M
654099,Diogo Nascimento,21.163586584531142,Midfield,Liga Portugal,2,700000,2162.0,29.5,88.0,0.6,44.2,medium,False,3500000,2025-12-12,2026-06-04,False,4.0,2800000,True,2026-01-01,0.5-1M
